Id,Label
0,nature's quantum building blocks
1,end-to-end cloud ecosystem
2,quantum theory
3,conventional computer
4,strategic partnership with jpmorgan chase
5,electron s quantum information
7,required tunability of circuit
8,information entangled over distance via fiber optic cable
9,uber
11,basic units for calculation processes
14,classical computer
15,open-source framework
16,module with more qubits including demonstration of quantum error correction routines as part of project
17,subatomic quantum memory
18,multi-purpose silicon chip
19,quantum algorithm
22,electrons trapped in single atom-sized defect within thin crystal
23,things for internet of things
24,quantum circuit
178,ceo elon musk
25,retail innovation
26,partnering with nissan-renault-mitsubishi alliance
27,many applications in daily life
29,coding of key distribution to public encryption
221,experiment with quantum cloud computing
30,taxi prototype market
31,quantum key distribution
187,quantum memory
33,computer
34,end-to-end simulation platform
21,raytheon
36,one largest quantum simulators
37,carbon-13 atoms
38,accenture
39,quantum developer tools
40,forefront of post quantum cryptographic solutions
41,implementations for large companies
42,excitation of quantum states
43,mix of startups
44,advanced companies
45,far more powerful than computers based on classical physics
46,las vegas
47,1000 vehicles
48,one of largest quantum simulators
49,quantum computing platform
50,accuracy of forecasts
6,$ 1 billion cyber deal after protests
52,physical properties of extremely small particles
53,first demonstration of quantum coherence
54,secure cloud computing
55,honeywell
56,defense-in-depth approach including security review
58,america
59,stable quantum computing building block
60,full cost of digital technology
61,computers
63,gen of its self-driving vehicle platform uber atg
62,in years with new research building for quantum research
65,information entangled with atom over long distance
66,$ 15m product innovation platform
67,cloud access to their annealer system
68,quantum logic gate
247,quantum computer
69,quantum information
70,quantum networks possible
71,subatomic physical processes
72,pedestrian behavior
73,developer tools
74,devices
75,microwaves
76,new quantum bit
77,rockwell automation
78,public cloud access
79,nothing more than location of electron in one of two energy pockets in double quantum dot
164,research on algorithms with error suppression for quantum computing
212,their autonomous driving program
82,general-purpose quantum computers
84,topological photonic chip
244,approximate quantum computing
89,quantum distribution
283,azure quantum
83,their purity
131,advancement in computer processing
90,information processing
92,perfectly secure cloud computing
274,programmable ions
93,single spinning nuclei
94,charged electrons
95,small-talk
96,much greater efficiency
97,quantum benchmark
98,proposed by richard feynman in 1982
99,electron spin confined to single dot
100,new study
101,quantum information processing
102,usb media devices
103,thousands of semiconductor nuclei
256,medium-sized quantum processors of 50-100 qubits
105,precise physical measurement data
51,unison
107,taxis
109,first programmable five qubit computer
110,its scout delivery robot
161,security of quantum cryptography
113,need for purchase
114,work with individual quantum bits
115,quantum computing playground
116,industry 4.0 trends
117,partnership working on iot systems
118,unbreakable coding of distribution to key encryption
217,quantum bit
120,quantum computers
121,quantum entanglement of many particle systems
122,development
123,assembly robots
124,financing
148,mathematicians
152,atos
